core_num,top,down,left,right,attack,time,,,,
4,709,154,3503,0,0,43,,,,
5,301,2435,3582,0,0,43,,,,
6,3366,2787,1902,3028,0,43,,,,
7,8409,690,1365,3425,0,43,,,,
8,690,2816,1238,3489,0,43,,,,
9,154,1736,3514,0,0,43,,,,
0,835,250,1363,0,0,44,,,,
1,1358,164,1493,2736,0,44,,,,
2,164,164,1493,2850,0,44,,,,
3,9194,650,116,595,0,44,,,,
4,651,97,1698,0,0,44,,,,
5,250,2262,1473,0,0,44,,,,
6,805,193,1096,1595,0,44,,,,
7,6867,609,0,945,0,44,,,,
8,609,609,0,971,0,44,,,,
9,97,97,1715,0,0,44,,,,
0,853,241,1385,0,0,45,,,,
1,1365,169,1247,2766,0,45,,,,
2,169,169,1245,2879,0,45,,,,
3,9342,660,109,512,0,45,,,,
4,656,100,1668,0,0,45,,,,
5,241,1911,1488,0,0,45,,,,
6,806,199,945,1611,0,45,,,,
7,6961,616,0,788,0,45,,,,
8,616,616,0,818,0,45,,,,
9,100,100,1642,0,0,45,,,,
0,1764,298,2974,0,0,46,,,,
1,3533,175,2182,4409,0,46,,,,
2,175,2297,2192,4523,0,46,,,,
3,9134,2230,860,1682,0,46,,,,
4,651,98,3070,0,0,46,,,,
5,290,2349,3070,0,0,46,,,,
6,2207,1616,1637,2489,0,46,,,,
7,7691,632,1124,2912,0,46,,,,
8,632,2601,1096,2940,0,46,,,,
9,98,1510,3051,0,0,46,,,,
0,844,240,1370,0,0,47,,,,
1,1357,145,1237,2741,0,47,,,,
2,145,145,1251,2854,0,47,,,,
3,9212,664,107,493,0,47,,,,
4,654,97,1649,0,0,47,,,,
5,240,1912,1477,0,0,47,,,,
6,793,180,907,1567,0,47,,,,
7,6892,621,0,782,0,47,,,,
8,621,621,0,821,0,47,,,,
9,97,97,1646,0,0,47,,,,
0,850,256,1369,0,0,48,,,,
1,1363,148,1232,2748,0,48,,,,
2,148,148,1243,2856,0,48,,,,
3,9294,681,117,502,0,48,,,,
4,662,108,1647,0,0,48,,,,
5,256,1922,1482,0,0,48,,,,
6,795,181,920,1591,0,48,,,,
7,6918,639,0,782,0,48,,,,
8,639,639,0,814,0,48,,,,
9,108,108,1651,0,0,48,,,,
0,3632,309,3168,0,0,49,,,,
1,3438,244,2828,5018,0,49,,,,
2,244,2216,2786,5116,0,49,,,,
3,9144,2194,1879,2321,0,49,,,,
